filename,size,compressed
materials/maps/bhop_together/concrete/milflr001_0_0_0.vmt,125,125
materials/maps/bhop_together/glass/combineglass001a_0_0_0.vmt,129,129
materials/maps/bhop_together/nature/water_canals03_depth_1.vmt,107,107
materials/maps/bhop_together/dev/dev_water5_depth_194.vmt,102,102
materials/maps/bhop_together/nature/water_canals03_depth_104.vmt,109,109
materials/maps/bhop_together/cubemapdefault.vtf,28753,28753
materials/maps/bhop_together/c0_0_0.vtf,28753,28753
materials/maps/bhop_together/cubemapdefault.hdr.vtf,76528,76528
materials/maps/bhop_together/c0_0_0.hdr.vtf,76528,76528
