filename,size,compressed
materials/maps/zm_smallmap_eh_v3_1/nature/infblendgrassdirt001a_wvt_patch.vmt,143,143
materials/maps/zm_smallmap_eh_v3_1/metal/metalpipe009a_0_0_0.vmt,132,132
materials/maps/zm_smallmap_eh_v3_1/dev/dev_water2_depth_333.vmt,102,102
materials/maps/zm_smallmap_eh_v3_1/dev/dev_water2_depth_10.vmt,101,101
materials/maps/zm_smallmap_eh_v3_1/cubemapdefault.vtf,9832,9832
materials/maps/zm_smallmap_eh_v3_1/c0_0_0.vtf,9832,9832
materials/maps/zm_smallmap_eh_v3_1/cubemapdefault.hdr.vtf,76528,76528
materials/maps/zm_smallmap_eh_v3_1/c0_0_0.hdr.vtf,76528,76528
