filename,size,compressed
materials/maps/xc_beach_cliff/glass/glasswindowbreak070b_246_1608_676.vmt,114,114
materials/maps/xc_beach_cliff/glass/prodwndwa_246_1608_676.vmt,213,213
materials/maps/xc_beach_cliff/liquids/water_chateau_dx70_depth_166.vmt,114,114
materials/maps/xc_beach_cliff/liquids/water_chateau_dx70_depth_44.vmt,113,113
materials/maps/xc_beach_cliff/liquids/water_chateau_dx70_depth_173.vmt,114,114
materials/maps/xc_beach_cliff/liquids/water_chateau_dx70_depth_105.vmt,114,114
materials/maps/xc_beach_cliff/cubemapdefault.vtf,9824,9824
materials/maps/xc_beach_cliff/c246_1608_676.vtf,9824,9824
